Step,Value
30000,1.32000005245209
60000,1.76999998092651
90000,2.07999992370605
120000,2.19000005722046
150000,2.26999998092651
180000,2.34999990463257
210000,2.15000009536743
240000,2.27999997138977
270000,2.16000008583069
300000,2.50999999046326
330000,2.45000004768372
360000,2.66000008583069
390000,2.52999997138977
420000,2.25
450000,2.38000011444092
480000,2.64000010490417
510000,2.48000001907349
540000,2.63000011444092
570000,2.64000010490417
600000,3.5699999332428
630000,4.69999980926514
660000,5.69000005722046
690000,6.3899998664856
720000,6.80999994277954
750000,6.44000005722046
780000,6.69999980926514
810000,7.3600001335144
840000,7.46000003814697
870000,7.51000022888184
900000,7.21000003814697
930000,6.94000005722046
960000,7.67000007629395
990000,7.69999980926514
1020000,8.26000022888184
1050000,8.05000019073486
1080000,8.14000034332275
1110000,8.38000011444092
1140000,8.64999961853027
1170000,8.34000015258789
1200000,8.52000045776367
1230000,8.81999969482422
1260000,8.85999965667725
1290000,8.72000026702881
1320000,8.97000026702881
1350000,9.44999980926514
1380000,9.53999996185303
1410000,9.27999973297119
1440000,9.28999996185303
1470000,10.0200004577637
1500000,9.81999969482422
1530000,9.39999961853027
1560000,9.77999973297119
1590000,9.64999961853027
1620000,10.7200002670288
1650000,10.7799997329712
1680000,10.9200000762939
1710000,10.2700004577637
1740000,10.4399995803833
1770000,11.2700004577637
1800000,11.7799997329712
1830000,10.6899995803833
1860000,11.5799999237061
1890000,11.210000038147
1920000,11.6499996185303
1950000,12.5500001907349
1980000,11.9499998092651
2010000,12.0299997329712
2040000,11.2600002288818
2070000,12.2399997711182
2100000,13.0900001525879
2130000,12.8100004196167
2160000,12.3400001525879
2190000,11.460000038147
2220000,11.8299999237061
2250000,12.4700002670288
2280000,13.4499998092651
2310000,14.1300001144409
2340000,13.3299999237061
2370000,13.2799997329712
2400000,14.3699998855591
2430000,14.2700004577637
2460000,13.6499996185303
2490000,14.2600002288818
2520000,14.4399995803833
2550000,14.6300001144409
2580000,14.460000038147
2610000,14.2299995422363
2640000,14.9200000762939
2670000,15.1400003433228
2700000,15.210000038147
2730000,15.3800001144409
2760000,15.4300003051758
2790000,15.9700002670288
2820000,16.2199993133545
2850000,17.2199993133545
2880000,17.4099998474121
2910000,17.4099998474121
2940000,17.3999996185303
2970000,16.4400005340576
3000000,15.1499996185303
3030000,16.9599990844727
3060000,17.8700008392334
3090000,17.3600006103516
3120000,17.2700004577637
3150000,17.1000003814697
3180000,16.4099998474121
3210000,16.3799991607666
3240000,16.5699996948242
3270000,16.5900001525879
3300000,17.5
3330000,18.1900005340576
3360000,17.5900001525879
3390000,16.9300003051758
3420000,18.25
3450000,18.7399997711182
3480000,18.6000003814697
3510000,19.1299991607666
3540000,19.1100006103516
3570000,19.8500003814697
3600000,19.1599998474121
3630000,19.7099990844727
3660000,20.2999992370605
3690000,19.7099990844727
3720000,20.5200004577637
3750000,20.1299991607666
3780000,19.5100002288818
3810000,19.6000003814697
3840000,20.1700000762939
3870000,20.9400005340576
3900000,21.6499996185303
3930000,20.6000003814697
3960000,20.3700008392334
3990000,20.9300003051758
4020000,20.3400001525879
4050000,20.6599998474121
4080000,21.9300003051758
4110000,22.2999992370605
4140000,22.1499996185303
4170000,23.2000007629395
4200000,23.2199993133545
4230000,22.8099994659424
4260000,21.5799999237061
4290000,22
4320000,22.9300003051758
4350000,22.0300006866455
4380000,21.4599990844727
4410000,22.5200004577637
4440000,22.5699996948242
4470000,23.1700000762939
4500000,24.3999996185303
4530000,22.9699993133545
4560000,23.8600006103516
4590000,24.5799999237061
4620000,25.2600002288818
4650000,23.7999992370605
4680000,23.9599990844727
4710000,24.6700000762939
4740000,26.6200008392334
4770000,26.0300006866455
4800000,25.7399997711182
4830000,25.8400001525879
4860000,27.2399997711182
4890000,27.6499996185303
4920000,26.3799991607666
4950000,24.4200000762939
4980000,24.2800006866455
5010000,26
5040000,26.2900009155273
5070000,26.7600002288818
5100000,25.7199993133545
5130000,26.1100006103516
5160000,26.4200000762939
5190000,25.6000003814697
5220000,26.8700008392334
5250000,28.1599998474121
5280000,28.6399993896484
5310000,27.3500003814697
5340000,27.0100002288818
5370000,27.1200008392334
5400000,27.3700008392334
5430000,27.2299995422363
5460000,27.6599998474121
5490000,27.3999996185303
5520000,25.3299999237061
5550000,26.7000007629395
5580000,26.2900009155273
5610000,27.1399993896484
5640000,28.6700000762939
5670000,29.4099998474121
5700000,27.4899997711182
5730000,26.3199996948242
5760000,26.7199993133545
5790000,28.7900009155273
5820000,28.0400009155273
5850000,28.2099990844727
5880000,27.6100006103516
5910000,28.3700008392334
5940000,28.0499992370605
5970000,27.0799999237061
6000000,26.6299991607666
6030000,27.2800006866455
6060000,28.7099990844727
6090000,30.6800003051758
6120000,31.6000003814697
6150000,31.4200000762939
6180000,32.5800018310547
6210000,33.0299987792969
6240000,32.689998626709
6270000,31.2099990844727
6300000,30.6499996185303
6330000,30.5
6360000,29.6599998474121
6390000,30.5300006866455
6420000,30.9699993133545
6450000,31.3899993896484
6480000,30.7000007629395
6510000,29.5799999237061
6540000,29.6399993896484
6570000,28.3700008392334
6600000,29.1200008392334
6630000,30.9599990844727
6660000,33.1599998474121
6690000,34.3199996948242
6720000,32.4700012207031
6750000,33.8499984741211
6780000,34.9000015258789
6810000,34.3499984741211
6840000,33.0400009155273
6870000,32.6300010681152
6900000,32.4099998474121
6930000,32.2299995422363
6960000,31.1499996185303
6990000,32.5699996948242
7020000,33.25
7050000,34.6199989318848
7080000,33.25
7110000,33.1399993896484
7140000,33.7700004577637
7170000,33.5299987792969
7200000,32.5400009155273
7230000,33.3400001525879
7260000,33.7900009155273
7290000,34.7400016784668
7320000,33.8499984741211
7350000,35.4500007629395
7380000,36.0400009155273
7410000,33.4700012207031
7440000,31.7600002288818
7470000,32.75
7500000,34.9199981689453
7530000,35.3899993896484
7560000,33.939998626709
7590000,34.3400001525879
7620000,33.6100006103516
7650000,35.8199996948242
7680000,35.7799987792969
7710000,35.9500007629395
7740000,33.6300010681152
7770000,34
7800000,35.4900016784668
7830000,36.9199981689453
7860000,38.0400009155273
7890000,36.4300003051758
7920000,35.3300018310547
7950000,34.7200012207031
7980000,35.439998626709
8010000,34.7900009155273
8040000,36.0699996948242
8070000,35.8800010681152
8100000,36.5800018310547
8130000,36.1399993896484
8160000,34.5999984741211
8190000,34.5099983215332
8220000,32.3800010681152
8250000,33.5099983215332
8280000,33.9199981689453
8310000,35.8800010681152
8340000,36.0999984741211
8370000,38.0200004577637
8400000,38.3300018310547
8430000,39.1500015258789
8460000,38.5900001525879
8490000,38.2599983215332
8520000,37.25
8550000,36.1399993896484
8580000,35.5800018310547
8610000,37.9099998474121
8640000,37.2000007629395
8670000,38.9199981689453
8700000,38.5099983215332
8730000,39.8400001525879
8760000,39.1300010681152
8790000,37.3600006103516
8820000,39.5299987792969
8850000,41.810001373291
8880000,45.2900009155273
8910000,47.0099983215332
8940000,49.6800003051758
8970000,47.1500015258789
9000000,48.8400001525879
9030000,43.0900001525879
9060000,44.9799995422363
9090000,40.560001373291
9120000,41.5999984741211
9150000,39.0800018310547
9180000,42.2900009155273
9210000,43.3300018310547
9240000,44.25
9270000,44.1699981689453
9300000,46.6500015258789
9330000,45.1699981689453
9360000,43.0999984741211
9390000,41.1500015258789
9420000,39.9000015258789
9450000,39.0800018310547
9480000,37.8600006103516
9510000,37.5999984741211
9540000,38.439998626709
9570000,40.060001373291
9600000,42.9500007629395
9630000,42.560001373291
9660000,39.2599983215332
9690000,37.5499992370605
9720000,36.7900009155273
9750000,39.3199996948242
9780000,40.4900016784668
9810000,43.0900001525879
9840000,43.2999992370606
9870000,41.8899993896484
9900000,41.0999984741211
9930000,42.4599990844727
9960000,43.1300010681152
9990000,48.8400001525879
10020000,53.4199981689453
10050000,52.6599998474121
10080000,51.1599998474121
10110000,49.0099983215332
10140000,48.6599998474121
10170000,45.3800010681152
10200000,43.5400009155273
10230000,43.7599983215332
10260000,42.1399993896484
10290000,41.8699989318848
10320000,44.0200004577637
10350000,45.060001373291
10380000,47.75
10410000,50.439998626709
10440000,49.2099990844727
10470000,47
10500000,45.8600006103516
10530000,47.3199996948242
10560000,46.3499984741211
10590000,51.2000007629395
10620000,52.3899993896484
10650000,57.7200012207031
10680000,48.2999992370606
10710000,48.4799995422363
10740000,44.75
10770000,45.4000015258789
10800000,44.8800010681152
